ticker,date,qtr,current_assets,noncurrent_assets,current_liabilities,noncurrent_liabilities,lt_dbt,equity,goodwill,inventory,ev,total_debt
cron,2017-12-31,Q4 2017,26.704,74.325,7.878,6.783,0,86.368,1.792,8.416,1420.172971,0
cron,2018-03-31,Q1 2018,58.56,81.679,2.839,6.11,0,131.29,1.792,9.014,1369.02461,0.039
cron,2018-06-30,Q2 2018,123.064,112.372,2.333,5.833,0,227.27,1.792,12.334,1417.62701,0
cron,2018-09-30,Q3 2018,85.978,148.472,9.529,2.656,0,222.265,1.792,15.073,2528.9044,5.724
cron,2018-12-31,Q4 2018,65.064,196.055,45.493,3.986,0,211.64,1.792,11.584,2558.446916,20.951
cron,2019-03-31,Q1 2019,2474.308,223.729,1719.642,8.445,1.827,969.95,1.792,25.15,5759.330255,1.961
cron,2019-06-30,Q2 2019,2408.592,258.927,1433.662,9.394,3.109,1224.463,1.792,41.667,4741.604848,3.526
apha,2015-08-31,Q1 2016,9.398891,5.109291,1.592646,0,0,12.915536,nan,2.056892,nan,nan
apha,2015-11-30,Q2 2016,8.05533,6.318674,1.607248,0,0,12.766756,nan,2.021974,nan,nan
apha,2016-02-29,Q3 2016,17.479226,11.790875,1.611151,0,0,27.65895,nan,1.828912,64.627915,0
apha,2016-05-31,Q4 2016,21.892886,14.3871,1.266492,0,0,35.013494,1.2,2.08885,80.902303,0
apha,2016-08-31,Q1 2017,59.925427,22.551433,3.411776,6.995067,6.995067,72.070017,1.2,2.729699,186.981653,7.726996
apha,2016-11-30,Q2 2017,106.340817,32.375958,3.90246,6.806521,6.806521,128.007794,1.2,2.875409,489.311741,7.549662
apha,2017-02-28,Q3 2017,129.363655,73.533123,6.218672,7.183663,7.183663,189.494443,1.2,2.654705,704.409788,8.789873
apha,2017-05-31,Q4 2017,179.413,136.559,10.317,31.786,31.786,273.869,1.2,3.887,592.586409,33.429
apha,2017-08-31,Q1 2018,144.297831,186.811597,9.170187,31.445986,31.359352,290.493255,1.2,5.968503,744.773208,32.950715
apha,2017-11-30,Q2 2018,199.233,240.369,20.451,31.022,31.022,388.129,1.2,8.706,1604.119916,32.58
apha,2018-02-28,Q3 2018,279.207,575.41,44.618,64.104,30.096,745.895,143.907,11.761,2225.717775,38.66
apha,2018-05-31,Q4 2018,194.612,1119.48,43.854,96.645,28.337,1173.593,522.762,22.15,2357.025524,31.087
apha,2018-08-31,Q1 2019,418.181,1207.529,54.936,110.337,52.015,1460.437,524.512,34.752,3710.349041,55.949
apha,2018-11-30,Q2 2019,290.162,1808.337,108.639,194.126,51.165,1795.734,656.039,40.342,2515.730629,55.157
apha,2019-02-28,Q3 2019,308.481,1744.166,177.203,163.008,62.279,1712.436,674.412,86.227,3390.143323,77.38
apha,2019-05-31,Q4 2019,780.829,1660.763,138.545,569.894,482.261,1733.153,669.846,91.529,2187.338842,488.593
ogi,2015-08-31,Q4 2015,4.592741,9.583376,1.747832,4.574153,4.574153,7.854132,0,0.969263,nan,nan
ogi,2015-11-30,Q1 2016,9.778377,9.588146,1.446994,7.108613,7.108613,10.810916,0,1.1115,nan,nan
ogi,2016-02-29,Q2 2016,10.699307,9.935372,2.084982,7.327616,7.327616,11.222081,0,1.854776,nan,nan
ogi,2016-05-31,Q3 2016,10.389301,11.172952,2.650747,7.244043,7.244043,11.667463,0,2.51739,65.332298,7.570139
ogi,2016-08-31,Q4 2016,40.651953,13.215012,2.445842,7.160831,7.160831,44.260292,0,3.94082,90.877433,7.49148
ogi,2016-11-30,Q1 2017,33.436307,23.643493,3.452369,3.397657,3.397657,50.229774,0,4.176472,273.059007,3.742066
ogi,2017-02-28,Q2 2017,64.136896,27.081206,5.217302,3.283186,3.283186,82.717614,0,2.660278,200.760884,3.643759
ogi,2017-05-31,Q3 2017,56.27321,33.101701,4.026188,3.199776,3.199776,82.148947,0,2.035963,206.375088,3.570776
ogi,2017-08-31,Q4 2017,44.666285,48.141424,6.648157,3.12849,3.12849,83.031062,2.327728,2.625859,196.433318,3.518306
ogi,2017-11-30,Q1 2018,38.722747,57.885912,7.045221,3.018417,3.018417,86.545021,2.327728,4.222795,334.027007,3.40663
ogi,2018-02-28,Q2 2018,195.978143,72.796707,12.106183,95.889911,95.889911,160.778756,2.154761,8.710411,410.340537,96.287469
ogi,2018-05-31,Q3 2018,187.614,84.514,9.095,98.268,98.268,164.765,0.999,17.57,568.377773,98.686
ogi,2018-08-31,Q4 2018,203.214,99.353,11.25,106.723,98.743,184.594,0,44.969,794.220311,99.164
ogi,2018-11-30,Q1 2019,229.52,139.108,15.798,119.862,98.296,232.968,0,91.441,728.25907,98.72
ogi,2019-02-28,Q2 2019,207.744,168.406,66.428,32.838,10.996,276.884,0,95.134,1178.276774,62.279
ogi,2019-05-31,Q3 2019,232.471,195.518,25.674,65.936,47.196,336.379,0,94.183,1471.205941,49.469
ter,2017-03-31,Q1 2017,4.277316,9.572645,1.516427,8.167998,8.167998,4.165536,nan,0,nan,8.167998
ter,2017-06-30,Q2 2017,2.528963,12.934219,3.310198,8.755232,8.755232,3.397752,nan,0,45.232025,8.755232
ter,2017-09-30,Q3 2017,2.53385,14.106395,0.721178,0,nan,15.919067,nan,0,nan,nan
ter,2017-12-31,Q4 2017,53.692817,15.368749,1.6921,0,0,67.369466,0,1.364198,234.067528,0
ter,2018-03-31,Q1 2018,53.054444,17.76111,4.124968,0,0,66.690586,nan,5.333167,427.868221,0
ter,2018-06-30,Q2 2018,47.457,20.764,3.921,0,0,64.3,nan,12.52,367.302196,0
ter,2018-09-30,Q3 2018,44.674,24.7,4.012,0,0,65.362,nan,12.312,603.446715,0
ter,2018-12-31,Q4 2018,58.794,30.184,31.076,0,0,57.902,0,14.844,224.130242,12.683
ter,2019-03-31,Q1 2019,55.255,61.518,56.626,3.41,3.012,56.737,6.681,11.618,371.110569,48.339
ter,2019-06-30,Q2 2019,68.477,212.47,86.303,43.103,24.023,151.541,89.601,17.335,419.582736,68.918
